Identifiant ICAR;Code postal;Code rue;ICAR - Code rue RN;Code ins commune;Localité;Secteur Electoral;Nom rue;Année de dénomination;Nom rue Population;Code postal Homonyme2;Code rue Homonyme2;Rue nom Homonyme2;Code postal Homonyme3;Code rue Homonyme3;Rue nom Homonyme3;Code postal Homonyme4;Code rue Homonyme4;Rue nom Homonyme4;Collège communal;Conseil Communal;Nom rue RN;Type voirie;Rue dans Corbeille;Voirie Privée/Publique;Rue Régionale/Communale;Nom rue Cadastre;Rue en Majuscule;Nom rue en Minuscule;Mot clé;Code Ins Entité;Entité;Date données Population;Nombre Ménages;Nombre Habitants;Code rue - Nom de rue;Thématique;Localités;Zone(s) stationnement
7753727;5100;9028;9028;92136;WIERDE;33;Rue de Jausse;;Rue de Jausse(WD) n°91 à fin et 96 à fin;5100;6918;Rue de Jausse(NN) n°1 à 89 et 2 à 94;;;;;;;;;;VOIRIE;;PUBLIQUE;REGIONALE;R DE JAUSSE;JAUSSE (Rue de );Jausse (Rue de );Jausse;92094;Namur;2023-05-07;51;131;9028-Rue de Jausse;Pas de renseignement;Wierde;
7753132;5020;4027;4027;92024;CHAMPION;10;Barrière d'En-Bas;1979;Barrière d'En-Bas(CH)(AVANT 28.05.79 Ptie Rue des Champs Verts) n°1 à 3 et 2 à 4;5020;8331;Barrière d'En-Bas(VD)(AVANT 28.05.79 Ptie Rue des Champs) n° 5 et 6;;;;;;;1979-05-28;1979-05-28;1979-05-28;VOIRIE;;PUBLIQUE;COMMUNALE;BARRIERE D EN-BAS;BARRIERE D'EN-BAS;Barrière d'En-Bas;Barrière d'en-bas;92094;Namur;2023-05-07;3;5;4027-Barrière d'En-Bas;Pas de renseignement;Champion;
7753143;5022;4218;4218;92025;COGNELEE;11;Berlandi;;Berlandi(CG);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;BERLANDI;BERLANDI;Berlandi;Berlandi;92094;Namur;2023-05-07;7;19;4218-Berlandi;Pas de renseignement;Cognelée;
7753651;5022;4202;4202;92025;COGNELEE;11;Rue Bois des Maires;;Rue Bois des Maires(CG);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R BOIS DES MAIRES;BOIS DES MAIRES (Rue );Bois des Maires (Rue );Bois des Maires;92094;Namur;2023-05-07;22;51;4202-Rue Bois des Maires;Géographie;Cognelée;
7753335;5020;8471;8471;92128;VEDRIN;31;Clos des Grives;1979;Clos des Grives(VD)(AVANT 28.05.79 Clos des Alouettes);;;;;;;;;;1979-05-28;1979-05-28;1979-05-28;VOIRIE;;PRIVEE;COMMUNALE;CL DES GRIVES;GRIVES (Clos des );Grives (Clos des );Grives;92094;Namur;2023-05-07;16;37;8471-Clos des Grives;Faune et Flore;Vedrin;
7753560;5020;6440;6440;92082;MALONNE;23;Quai de l'Etoile;;Quai de l'Etoile(ML);;;;;;;;;;;;;HALAGE;;PUBLIQUE;REGIONALE;QUAI DE L ETOILE;ETOILE (Quai de l' );Etoile (Quai de l' );Etoile;92094;Namur;2023-05-07;0;0;6440-Quai de l'Etoile;Pas de renseignement;Malonne;
7753756;5100;4606;4606;92032;DAVE;13;Rue de la Faisanderie;;Rue de la Faisanderie(DV);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R DE LA FAISANDERIE;FAISANDERIE (Rue de la );Faisanderie (Rue de la );Faisanderie;92094;Namur;2023-05-07;1;2;4606-Rue de la Faisanderie;Métiers;Dave;
7753386;5020;6442;6442;92082;MALONNE;23;Fond de Malonne;1981;Fond de Malonne(AVANT 01.01.81 Ptie Fond);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;FOND DE MALONNE;FOND DE MALONNE;Fond de Malonne;Fond de Malonne;92094;Namur;2023-05-07;135;288;6442-Fond de Malonne;Géographie;Malonne;
7753280;5020;6447;6447;92082;MALONNE;23;Chemin du Four;;Chemin du Four(ML)(AVANT 01.01.81 Ptie Piroy);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;CHEM DU FOUR;FOUR (Chemin du );Four (Chemin du );Four;92094;Namur;2023-05-07;14;38;6447-Chemin du Four;Pas de renseignement;Malonne;
7754389;5100;4609;4609;92032;DAVE;13;Rue Géniton;;Rue Géniton(DV);;;;;;;;;;;;;VOIRIE;;PUBLIQUE;COMMUNALE;R GENITON;GENITON (Rue );Géniton (Rue );Géniton;92094;Namur;2023-05-07;20;53;4609-Rue Géniton;Pas de renseignement;Dave;
