Type FR;Type NL;Type ENG;Adresse;Adres;Quartier;Wijk;WGS84_LONG;WGS84_LAT;WGS84_LALO;Accèssibilité PMR / Toegankelijkheid PBM;Gratuit / Gratis;Gestion/Beheer;Heures d'ouverture / Openingsuren;Type;Rue;Lokalisatie/localisation;Huisnummer/n° de rue;NIVEAU
TOILETTE;TOILET;TOILET;233, Avenue de la Reine;233, Koninginnelaan;Nord;Noord;4.361097978406152;50.871416768525826;50.871416768525826, 4.361097978406152;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Avenue de la Reine;Queens Burger;233;0
TOILETTE;TOILET;TOILET;98, Avenue Houba de Strooper;98, Houba de Strooperlaan;Laeken;Laken;4.338731406177397;50.88839667706076;50.88839667706076, 4.338731406177397;Nee / Non;Gratuit / Gratis;Privé;10:00 - 03:00;Gastvrije toiletten / Toilettes accueillantes;Avenue Houba de Strooper;Le Carlton;98;0
TOILETTE;TOILET;TOILET;688, Avenue Houba de Strooper;688, Houba de Strooperlaan;Laeken;Laken;4.328352691128231;50.89662847841724;50.89662847841724, 4.328352691128231;Nee / Non;Gratuit / Gratis;Privé;08:00 - 00:00;Gastvrije toiletten / Toilettes accueillantes;Avenue Houba de Strooper;Forum Café;688;0
TOILETTE;TOILET;TOILET;594, Avenue Houba de Strooper;594, Houba de Strooperlaan;Laeken;Laken;4.331209390656093;50.8943537371801;50.8943537371801, 4.331209390656093;Nee / Non;Gratuit / Gratis;Privé;10:00 - 01:00;Gastvrije toiletten / Toilettes accueillantes;Avenue Houba de Strooper;Le Marathon;592;0
TOILETTE;TOILET;TOILET;25, Square Gutenberg;25, Gutenbergsquare;Nord-Est;Noord-Oost;4.377902029131672;50.848681997903945;50.848681997903945, 4.377902029131672;Nee / Non;Gratuit / Gratis;Privé;10:00 - 23:00;Gastvrije toiletten / Toilettes accueillantes;Square Gutenberg;Le Gutenberg;25;0
TOILETTE;TOILET;TOILET;103, Rue du Marché aux Herbes;103, Grasmarkt;Pentagone;Vijfhoek;4.354385091829173;50.84642231895051;50.84642231895051, 4.354385091829173;Ja / Oui;Payant / Betalend;Privé;10:30-19:00;Privaat uitgebaat toilet / Toilette exploitée par le privé;Rue du Marché aux Herbes;Galerie Agora;103;0
TOILETTE;TOILET;TOILET;2, Rue des Minimes;2, Minimenstraat;Pentagone;Vijfhoek;4.353930036610582;50.8412748197664;50.8412748197664, 4.353930036610582;Nee / Non;Gratuit / Gratis;Privé;08:00 - 01:00;Gastvrije toiletten / Toilettes accueillantes;Rue des Minimes;Chez Richard;2;0
TOILETTE;TOILET;TOILET;1A, Rue des Artistes;1A, Kunstenaarsstraat;Laeken;Laken;4.349219499291583;50.8803915963112;50.8803915963112, 4.349219499291583;Nee / Non;Gratuit / Gratis;Privé;06:00 - 01:00;Gastvrije toiletten / Toilettes accueillantes;Rue des Artistes;Café Théâtre des Artistes;1;0
TOILETTE;TOILET;TOILET;180, Rue de Laeken;180, Lakensestraat;Pentagone;Vijfhoek;4.35295701131874;50.856451012618436;50.856451012618436, 4.35295701131874;Ja / Oui;Gratuit / Gratis;Stad Brussel / Ville de Bruxelles;24h/24h;Openbaar toilet / Toilette publique;Rue de Laeken;null;183;0
TOILETTE;TOILET;TOILET;20, Rue de Flandre;20, Vlaamsesteenweg;Pentagone;Vijfhoek;4.346827522474529;50.85088384598525;50.85088384598525, 4.346827522474529;null;?;null;null;Gastvrije toiletten / Toilettes accueillantes;Rue de Flandre;Le Pré Salé;20;0
