Geo Point;Geo Shape;Identifiant;Code rue (ICAR / BeStaddress);Rue;Code rue;Numéro;Identifiant d'adresse (ICAR / BeStaddress);Commune;Code postal;Places disponibles;Date de création;Date de dernière modification;Statut;Année de mise en service;Largeur;Longueur;Ville
50.6217354641, 5.5881945674;"{""coordinates"": [5.5881945674, 50.6217354641], ""type"": ""Point""}";1534;7729663;avenue Reine Elisabeth;125;12;1119061;Liège;4020;1;2021-03-27;2021-03-27;Existant;;;;Liège
50.6354468198, 5.5675500165;"{""coordinates"": [5.5675500165, 50.6354468198], ""type"": ""Point""}";1672;7730553;rue des Augustins;276;1;1214268;Liège;4000;1;2021-04-01;2021-04-01;Existant;;;;Liège
50.6450089656, 5.5925867458;"{""coordinates"": [5.5925867458, 50.6450089656], ""type"": ""Point""}";1078;7729676;boulevard de la Constitution;616;82;1137235;Liège;4020;2;2013-05-30;2021-04-09;Existant;;;;Liège
50.6422222701, 5.5664299306;"{""coordinates"": [5.5664299306, 50.6422222701], ""type"": ""Point""}";1099;7729677;boulevard de la Sauvenière;13;101;1137225;Liège;4000;2;2013-05-30;2021-08-27;Existant;;;;Liège
50.6546161927, 5.5627423082;"{""coordinates"": [5.5627423082, 50.6546161927], ""type"": ""Point""}";891;7729681;boulevard des Hauteurs;838;12;1124308;Liège;4000;2;2013-05-30;2013-05-30;Existant;;;;Liège
50.6206868152, 5.5911240256;"{""coordinates"": [5.5911240256, 50.6206868152], ""type"": ""Point""}";1753;7729686;boulevard Emile de Laveleye;1215;120;1115711;Liège;4020;1;2021-08-20;2021-08-20;Existant;;;;Liège
50.6317381792, 5.5706318734;"{""coordinates"": [5.5706318734, 50.6317381792], ""type"": ""Point""}";1082;7729690;boulevard Frère Orban;331;24;1871748;Liège;4000;2;2013-05-30;2013-05-30;Existant;;;;Liège
50.6311837495, 5.5706177545;"{""coordinates"": [5.5706177545, 50.6311837495], ""type"": ""Point""}";707;7729690;boulevard Frère Orban;331;30;1230990;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.6609897899, 5.5673850271;"{""coordinates"": [5.5673850271, 50.6609897899], ""type"": ""Point""}";1020;7729693;boulevard Jean de Wilde;839;55;1119152;Liège;4000;1;2013-05-30;2021-08-19;Existant;;;;Liège
50.6363127311, 5.5726698663;"{""coordinates"": [5.5726698663, 50.6363127311], ""type"": ""Point""}";1040;7729698;boulevard Piercot;359;2;1110542;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
50.635584795, 5.5712149042;"{""coordinates"": [5.5712149042, 50.635584795], ""type"": ""Point""}";631;7729698;boulevard Piercot;359;19;1110543;Liège;4000;1;2013-05-30;2013-05-30;Existant;;;;Liège
